,gene,ratio,snv_count,intersections_count
308,MBD4_HUMAN,0.12112676056338029,355,43
309,MBL2_HUMAN,0.12154696132596685,181,22
310,MCM2_HUMAN,0.10526315789473684,19,2
311,MCM3_HUMAN,0.1,20,2
312,MCM5_HUMAN,0.2222222222222222,9,2
313,MCM7_HUMAN,0.07142857142857142,14,1
314,MCRS1_HUMAN,1.0,1,1
315,ME3L1_HUMAN,0.0,3,0
316,MECOM_HUMAN,0.058823529411764705,17,1
317,MECP2_HUMAN,0.4,5,2
318,MED16_HUMAN,0.7222222222222222,18,13
319,MED26_HUMAN,0.24836601307189543,153,38
320,MEF2B_HUMAN,0.03934553954031944,2567,101
321,MEF2C_HUMAN,0.0,1,0
322,MEF2D_HUMAN,0.19230769230769232,26,5
323,MEIS2_HUMAN,0.08440366972477065,545,46
324,MEN1_HUMAN,0.13793103448275862,58,8
325,MGAP_HUMAN,0.053304904051172705,469,25
326,MIER1_HUMAN,0.1,10,1
327,MIER2_HUMAN,0.25,16,4
328,MIER3_HUMAN,0.8333333333333334,6,5
329,MITF_HUMAN,0.08085106382978724,235,19
330,MIXL1_HUMAN,0.631578947368421,19,12
331,MK03_HUMAN,0.0,4,0
332,MK14_HUMAN,0.4444444444444444,9,4
333,MLXIP_HUMAN,0.0,3,0
334,MLX_HUMAN,0.7777777777777778,18,14
335,MNT_HUMAN,0.1171993911719939,1314,154
336,MORC2_HUMAN,0.25,8,2
337,MTA1_HUMAN,0.14285714285714285,42,6
338,MTA2_HUMAN,0.045346062052505964,1257,57
339,MTA3_HUMAN,0.23404255319148937,47,11
340,MTG16_HUMAN,0.06546854942233633,779,51
341,MTG8R_HUMAN,0.056,250,14
342,MTG8_HUMAN,0.05555555555555555,522,29
343,MTOR_HUMAN,0.07142857142857142,140,10
344,MXI1_HUMAN,0.18666666666666668,75,14
345,MYBA_HUMAN,0.2,5,1
346,MYBB_HUMAN,0.08695652173913043,46,4
347,MYB_HUMAN,0.06865284974093264,772,53
348,MYCN_HUMAN,0.14893617021276595,282,42
349,MYC_HUMAN,0.1893491124260355,169,32
350,MYF5_HUMAN,0.0,3,0
351,MYNN_HUMAN,0.1,10,1
352,MYOD1_HUMAN,0.024922118380062305,321,8
353,MZF1_HUMAN,0.08695652173913043,23,2
354,NAB2_HUMAN,0.0,2,0
355,NANOG_HUMAN,0.020066889632107024,897,18
356,NBN_HUMAN,0.10650887573964497,169,18
357,NC2A_HUMAN,0.3541666666666667,48,17
358,NCOA1_HUMAN,0.15384615384615385,78,12
359,NCOA2_HUMAN,0.1,60,6
360,NCOA3_HUMAN,0.07874015748031496,127,10
361,NCOA4_HUMAN,0.0,1,0
362,NCOA6_HUMAN,0.2,5,1
363,NCOR1_HUMAN,0.10032362459546926,618,62
364,NCOR2_HUMAN,0.0,18,0
365,NDF1_HUMAN,0.21551724137931033,116,25
366,NELFA_HUMAN,0.17486338797814208,183,32
367,NELFE_HUMAN,0.16883116883116883,231,39
368,NF2L1_HUMAN,0.0,8,0
369,NF2L2_HUMAN,0.11904761904761904,42,5
370,NFAC1_HUMAN,0.1,10,1
371,NFAC2_HUMAN,0.06741573033707865,89,6
372,NFAC3_HUMAN,0.14754098360655737,244,36
373,NFE2_HUMAN,0.06990881458966565,329,23
374,NFIA_HUMAN,0.3181818181818182,110,35
375,NFIB_HUMAN,0.08794788273615635,307,27
376,NFIC_HUMAN,0.0639412997903564,954,61
377,NFIL3_HUMAN,0.35911602209944754,181,65
378,NFKB1_HUMAN,0.07017543859649122,114,8
379,NFKB2_HUMAN,0.05555555555555555,18,1
380,NFRKB_HUMAN,0.13725490196078433,51,7
381,NFXL1_HUMAN,0.14244186046511628,344,49
382,NFYA_HUMAN,0.2727272727272727,11,3
383,NFYB_HUMAN,0.25,4,1
384,NFYC_HUMAN,0.16101694915254236,118,19
385,NGN2_HUMAN,0.0,15,0
386,NIPBL_HUMAN,0.16666666666666666,6,1
387,NKX21_HUMAN,0.14285714285714285,63,9
388,NKX25_HUMAN,0.0,14,0
389,NONO_HUMAN,0.23529411764705882,17,4
390,NOTC1_HUMAN,0.06567164179104477,670,44
391,NR0B1_HUMAN,1.0,1,1
392,NR1H3_HUMAN,0.4634146341463415,41,19
393,NR1H4_HUMAN,0.14285714285714285,7,1
394,NR2C1_HUMAN,0.19805194805194806,616,122
395,NR2C2_HUMAN,0.5,20,10
396,NR2F6_HUMAN,0.5665236051502146,233,132
397,NR4A1_HUMAN,0.0,14,0
398,NR5A2_HUMAN,0.0,1,0
399,NRF1_HUMAN,0.13016710642040458,1137,148
400,NXF1_HUMAN,0.0,1,0
401,O43245_HUMAN,0.0,2,0
402,OBF1_HUMAN,0.0,1,0
403,OGG1_HUMAN,0.0,1,0
404,OLIG2_HUMAN,0.11406844106463879,263,30
405,ONEC2_HUMAN,0.11538461538461539,52,6
406,OSR2_HUMAN,0.07272727272727272,165,12
407,OTX2_HUMAN,0.023544973544973546,3780,89
408,OVOL3_HUMAN,0.5,6,3
409,OZF_HUMAN,0.038461538461538464,26,1
410,P53_HUMAN,0.03884297520661157,1210,47
411,P63_HUMAN,0.033983637507866586,1589,54
412,P66A_HUMAN,0.32926829268292684,164,54
413,P66B_HUMAN,0.1111111111111111,162,18
414,P73_HUMAN,0.3333333333333333,3,1
415,PAF1_HUMAN,0.0,3,0
416,PATZ1_HUMAN,0.058823529411764705,119,7
417,PAX2_HUMAN,0.022099447513812154,724,16
418,PAX3_HUMAN,0.0,1,0
419,PAX5_HUMAN,0.09090909090909091,33,3
420,PAX6_HUMAN,0.7777777777777778,9,7
421,PAX8_HUMAN,0.12121212121212122,33,4
422,PBIP1_HUMAN,0.08333333333333333,12,1
423,PBX1_HUMAN,0.03588907014681892,613,22
424,PBX2_HUMAN,0.07865168539325842,178,14
425,PBX3_HUMAN,0.12738853503184713,157,20
426,PBX4_HUMAN,0.05454545454545454,55,3
427,PCBP2_HUMAN,0.0,1,0
428,PCF11_HUMAN,0.28205128205128205,39,11
429,PCGF2_HUMAN,0.0,5,0
430,PCH2_HUMAN,0.0,3,0
431,PDX1_HUMAN,0.14285714285714285,7,1
432,PEBB_HUMAN,0.2857142857142857,14,4
433,PEX2_HUMAN,0.11363636363636363,44,5
434,PF21A_HUMAN,0.2,15,3
435,PHB2_HUMAN,0.16,25,4
436,PHF20_HUMAN,0.04,25,1
437,PHF8_HUMAN,0.0,3,0
438,PHX2B_HUMAN,0.0,150,0
439,PIAS1_HUMAN,0.0,1,0
440,PKCB1_HUMAN,0.25,4,1
441,PKNX1_HUMAN,0.06747787610619468,1808,122
442,PLAG1_HUMAN,0.3333333333333333,6,2
443,PLRG1_HUMAN,0.0,10,0
444,PMEPA_HUMAN,0.0967741935483871,31,3
445,PML_HUMAN,0.6060606060606061,33,20
446,PO2F1_HUMAN,0.15384615384615385,26,4
447,PO2F2_HUMAN,0.16666666666666666,30,5
448,PO5F1_HUMAN,0.0,25,0
449,PPARG_HUMAN,0.16110304789550073,1378,222
450,PRD10_HUMAN,0.07282184655396619,769,56
451,PRD12_HUMAN,0.0,6,0
452,PRDM1_HUMAN,0.0718562874251497,167,12
453,PRDM2_HUMAN,0.2857142857142857,7,2
454,PRDM4_HUMAN,0.12048192771084337,83,10
455,PRDM6_HUMAN,0.043668122270742356,229,10
456,PRDM9_HUMAN,0.04580152671755725,393,18
457,PRGR_HUMAN,0.10148514851485149,808,82
458,PRKDC_HUMAN,1.0,1,1
459,PTBP1_HUMAN,0.0,1,0
460,PTEN_HUMAN,0.020253164556962026,395,8
461,PTTG1_HUMAN,0.0,14,0
462,PYGO2_HUMAN,0.08333333333333333,60,5
463,Q16158_HUMAN,0.25,4,1
464,Q8IZH1_HUMAN,0.008130081300813009,123,1
465,RAD21_HUMAN,0.06520208421349105,7101,463
466,RAD51_HUMAN,0.06079664570230608,477,29
467,RAG2_HUMAN,0.18518518518518517,135,25
468,RARA_HUMAN,0.1038961038961039,2233,232
469,RBAK_HUMAN,0.3333333333333333,3,1
470,RBBP4_HUMAN,0.0,2,0
471,RBBP5_HUMAN,0.15080213903743314,1870,282
472,RBL1_HUMAN,0.0,1,0
473,RBM22_HUMAN,0.05084745762711865,118,6
474,RBM25_HUMAN,0.08646228039958663,2903,251
475,RB_HUMAN,0.13333333333333333,60,8
476,RCOR1_HUMAN,0.3333333333333333,3,1
477,RCOR2_HUMAN,0.7,10,7
478,RELB_HUMAN,0.07975460122699386,489,39
479,REL_HUMAN,0.42105263157894735,19,8
480,REPI1_HUMAN,0.0,2,0
481,REQU_HUMAN,0.07351778656126483,1265,93
482,RERE_HUMAN,0.75,4,3
483,REST_HUMAN,0.054933875890132246,983,54
484,RFA2_HUMAN,0.0,4,0
485,RFOX2_HUMAN,0.19170403587443946,892,171
486,RFX1_HUMAN,0.09749303621169916,718,70
487,RFX2_HUMAN,0.0,1,0
488,RFX3_HUMAN,0.0,4,0
489,RFX5_HUMAN,0.0641025641025641,156,10
490,RFXK_HUMAN,0.4,5,2
491,RHG35_HUMAN,0.25,16,4
492,RING1_HUMAN,0.25,4,1
493,RING2_HUMAN,0.026717557251908396,786,21
494,RLF_HUMAN,0.0,6,0
495,RUNX1_HUMAN,0.1,110,11
496,RUNX2_HUMAN,0.03545051698670606,677,24
497,RUNX3_HUMAN,0.08521303258145363,399,34
498,RUVB2_HUMAN,1.0,1,1
499,RXRA_HUMAN,0.2854368932038835,1030,294
500,RXRB_HUMAN,0.5309734513274337,113,60
501,SAFB1_HUMAN,0.0,1,0
502,SALL1_HUMAN,0.0,2,0
503,SALL2_HUMAN,0.25,4,1
504,SALL4_HUMAN,0.0,1,0
505,SATB1_HUMAN,0.0,180,0
506,SCRT1_HUMAN,0.1388888888888889,36,5
507,SCRT2_HUMAN,0.03553299492385787,394,14
508,SETD7_HUMAN,0.3333333333333333,33,11
509,SFPQ_HUMAN,0.01639344262295082,61,1
510,SIN3A_HUMAN,0.17575757575757575,165,29
511,SIN3B_HUMAN,0.26666666666666666,15,4
512,SIR1_HUMAN,0.0,3,0
513,SIX2_HUMAN,0.021052631578947368,190,4
514,SIX4_HUMAN,0.05,20,1
515,SIX5_HUMAN,0.5,10,5
516,SKIL_HUMAN,0.05089820359281437,334,17
517,SKI_HUMAN,0.3170028818443804,347,110
518,SKP2_HUMAN,0.0,77,0
519,SMAD1_HUMAN,0.16842105263157894,95,16
520,SMAD2_HUMAN,0.20833333333333334,120,25
521,SMAD3_HUMAN,0.17133956386292834,321,55
522,SMAD4_HUMAN,0.344311377245509,334,115
523,SMAD5_HUMAN,0.3269230769230769,52,17
524,SMC1A_HUMAN,0.042222222222222223,450,19
525,SMC3_HUMAN,0.06134453781512605,1190,73
526,SMCA4_HUMAN,0.04941860465116279,3440,170
527,SMCA5_HUMAN,0.05422993492407809,461,25
528,SMCE1_HUMAN,0.1130952380952381,168,19
529,SMHD1_HUMAN,0.1,10,1
530,SMRC1_HUMAN,0.10158730158730159,945,96
531,SMRC2_HUMAN,0.3333333333333333,6,2
532,SNAI1_HUMAN,0.2,5,1
533,SNAI2_HUMAN,0.07692307692307693,2717,209
534,SNF5_HUMAN,0.21153846153846154,52,11
535,SNIP1_HUMAN,0.4444444444444444,18,8
536,SOX13_HUMAN,0.3538011695906433,342,121
537,SOX17_HUMAN,0.0,17,0
538,SOX2_HUMAN,0.0136986301369863,73,1
539,SOX4_HUMAN,0.25,4,1
540,SOX5_HUMAN,0.36683417085427134,199,73
541,SOX6_HUMAN,0.08712121212121213,264,23
542,SOX8_HUMAN,0.0,1,0
543,SP130_HUMAN,0.3383458646616541,266,90
544,SP1_HUMAN,0.3134469696969697,1056,331
545,SP2_HUMAN,0.1375921375921376,407,56
546,SP3_HUMAN,0.1,90,9
547,SP4_HUMAN,0.0,4,0
548,SP5_HUMAN,0.34615384615384615,52,18
549,SP7_HUMAN,0.08895705521472393,326,29
550,SPI1_HUMAN,0.034805617748829634,14739,513
551,SPIB_HUMAN,0.0,5,0
552,SPT5H_HUMAN,0.10862186014935506,1473,160
553,SPT6H_HUMAN,0.0,17,0
554,SQSTM_HUMAN,0.0,11,0
555,SRBP1_HUMAN,0.0,9,0
556,SRBP2_HUMAN,0.11961392623233368,2901,347
557,SRC_HUMAN,0.0,5,0
558,SRF_HUMAN,0.0774365821094793,749,58
559,SRSF1_HUMAN,0.0,1,0
560,SSRP1_HUMAN,0.019757807520713832,1569,31
561,SSXT_HUMAN,0.07407407407407407,729,54
562,STA5A_HUMAN,0.75,4,3
563,STA5B_HUMAN,0.0,25,0
564,STAG1_HUMAN,0.04329618851586344,14089,610
565,STAG2_HUMAN,0.0625,240,15
566,STAT1_HUMAN,0.12412831241283125,7170,890
567,STAT3_HUMAN,0.07692307692307693,585,45
568,SUH_HUMAN,0.1353211009174312,872,118
569,SUMO1_HUMAN,1.0,1,1
570,SUMO2_HUMAN,0.08783783783783784,148,13
571,SUZ12_HUMAN,0.036734693877551024,245,9
572,T22D4_HUMAN,0.25,4,1
573,T2AG_HUMAN,0.2222222222222222,9,2
574,T2EB_HUMAN,0.5,6,3
575,T2FA_HUMAN,0.373134328358209,67,25
576,TADBP_HUMAN,0.13432835820895522,67,9
577,TAF1_HUMAN,0.16666666666666666,60,10
578,TAF7_HUMAN,0.3333333333333333,15,5
579,TAF9B_HUMAN,0.09595959595959595,198,19
580,TAL1_HUMAN,0.053934571175950484,1131,61
581,TASOR_HUMAN,0.0,3,0
582,TBG1_HUMAN,1.0,1,1
583,TBP_HUMAN,0.17822520507084266,1341,239
584,TBX21_HUMAN,0.06869300911854104,1645,113
585,TBX3_HUMAN,0.336322869955157,223,75
586,TBX5_HUMAN,0.0,66,0
587,TCF21_HUMAN,0.07626438319507627,3737,285
588,TCF7_HUMAN,0.4918032786885246,61,30
589,TEAD1_HUMAN,0.21428571428571427,182,39
590,TEAD2_HUMAN,0.5,2,1
591,TEAD3_HUMAN,0.3273542600896861,446,146
592,TEAD4_HUMAN,0.03430531732418525,1166,40
593,TERT_HUMAN,0.14285714285714285,7,1
594,TET1_HUMAN,1.0,1,1
595,TET2_HUMAN,1.0,1,1
596,TF3C2_HUMAN,0.16666666666666666,6,1
597,TF3C5_HUMAN,0.125,8,1
598,TF65_HUMAN,0.08249496981891348,7455,615
599,TF7L1_HUMAN,0.2,15,3
600,TF7L2_HUMAN,0.4,10,4
601,TFAP4_HUMAN,0.20270270270270271,74,15
602,TFCP2_HUMAN,0.0,1,0
603,TFDP1_HUMAN,0.0,1,0
604,TFE2_HUMAN,0.030716723549488054,293,9
605,TFE3_HUMAN,0.4423076923076923,52,23
606,TGIF2_HUMAN,0.5555555555555556,9,5
607,THA11_HUMAN,0.38461538461538464,117,45
608,THAP1_HUMAN,0.6666666666666666,3,2
609,THA_HUMAN,0.25,4,1
610,THB_HUMAN,0.34285714285714286,35,12
611,THOC4_HUMAN,1.0,1,1
612,TIF1A_HUMAN,0.08571428571428572,385,33
613,TIF1B_HUMAN,0.03871268656716418,2144,83
614,TLE3_HUMAN,0.06751824817518248,548,37
615,TLX1_HUMAN,0.09401709401709402,117,11
616,TP53B_HUMAN,0.17196531791907516,692,119
617,TR150_HUMAN,0.06382978723404255,47,3
618,TRI22_HUMAN,0.0673076923076923,208,14
619,TRI25_HUMAN,0.0,10,0
620,TRPS1_HUMAN,0.3684210526315789,19,7
621,TSH1_HUMAN,0.2,10,2
622,TTP_HUMAN,0.14814814814814814,27,4
623,TWST1_HUMAN,0.09090909090909091,22,2
624,TYY1_HUMAN,0.19080659150043366,2306,440
625,TYY2_HUMAN,0.25,20,5
626,TZAP_HUMAN,0.05714285714285714,70,4
627,UBF1_HUMAN,0.0,9,0
628,UBP22_HUMAN,0.5,2,1
629,UBP7_HUMAN,0.1875,48,9
630,USF1_HUMAN,0.1326530612244898,294,39
631,USF2_HUMAN,0.11979166666666667,192,23
632,VDR_HUMAN,0.2564102564102564,39,10
